version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v1,S01,default,1,"In a tense meeting, the group is leaning toward a decision you disagree with.",في اجتماع متوتر، يميل الفريق إلى قرار لا توافق عليه.
v1,S02,default,2,A friend disappoints you with a repeated mistake.,صديق يكرر خطأ يزعجك رغم أنك نبهته سابقاً.
v1,S03,default,3,You receive unclear feedback from a manager: 'Improve your impact.',يصلك تعليق غير واضح من مديرك: «حسن تأثيرك».
v1,S04,default,4,A conflict starts in a group chat. People are misunderstanding each other.,يبدأ خلاف في مجموعة محادثة ويُسيء بعضهم فهم بعض.
v1,S05,default,5,"A deadline is near, but the requirements keep changing.",الوقت يضيق والمتطلبات تتغير باستمرار.
v1,S06,default,6,Someone criticizes you publicly in front of others.,أحدهم ينتقدك أمام الآخرين.
v1,S07,default,7,"You are offered a new opportunity, but the risks are real.",تُعرض عليك فرصة جديدة لكنها تحمل مخاطر واضحة.
v1,S08,default,8,A teammate is struggling and slowing the whole group.,زميل متعثر ويؤخر الفريق كله.
v1,S09,default,9,You notice a small unfairness that benefits you if you stay silent.,تلاحظ ظلماً صغيراً لصالحك إن بقيت صامتاً.
v1,S10,default,10,"Two people you care about are in disagreement, and both want you on their side.",شخصان مهمان لك على خلاف، وكلٌ يريدك في صفّه.
v1,S11,default,11,You have to make a decision with limited information.,عليك اتخاذ قرار بمعلومات ناقصة.
v1,S12,default,12,"You feel drained, but you promised to deliver something today.",تشعر بالإرهاق لكنك وعدت بتسليم شيء اليوم.
v2,D01,deep,1,Your family plans a weekend gathering but you feel exhausted.,عائلتك تخطط لتجمع في عطلة نهاية الأسبوع لكنك تشعر بالإرهاق.
v2,D02,deep,2,You receive an unexpected bonus at work.,حصلت على مكافأة غير متوقعة في العمل.
v2,D03,deep,3,A close friend is going through a difficult time.,صديق مقرب يمر بوقت صعب.
v2,D04,deep,4,You are offered a promotion that requires longer hours.,عُرضت عليك ترقية تتطلب ساعات عمل أطول.
v2,D05,deep,5,Your neighborhood starts a community initiative.,بدأ الحي مبادرة مجتمعية جديدة.
v2,D06,deep,6,You have free time on a weekday evening.,لديك وقت فراغ في مساء يوم عادي.
v2,D07,deep,7,A disagreement happens between two colleagues.,حدث خلاف بين زميلين في العمل.
v2,D08,deep,8,You feel stuck in your current routine.,تشعر بأنك عالق في روتينك الحالي.
v2,D09,deep,9,A family member asks for financial help.,أحد أفراد العائلة يطلب مساعدة مالية.
v2,D10,deep,10,You are invited to join a new social group.,تمت دعوتك للانضمام إلى مجموعة اجتماعية جديدة.
v2,D11,deep,11,You face criticism about your performance.,تلقيت انتقادًا حول أدائك.
v2,D12,deep,12,You have saved some money and are deciding what to do with it.,ادخرت مبلغًا من المال وتفكر كيف تستخدمه.
v2,D13,deep,13,A friend invites you on a spontaneous trip.,صديق يدعوك لرحلة مفاجئة.
v2,D14,deep,14,You notice unfair treatment at work.,لاحظت معاملة غير عادلة في العمل.
v2,D15,deep,15,You feel emotionally distant from people around you.,تشعر ببعد عاطفي عن من حولك.
v2,D16,deep,16,You have multiple goals but limited time.,لديك أهداف متعددة ووقت محدود.
v2,D17,deep,17,A new course becomes available in your field.,أصبح هناك دورة جديدة متاحة في مجالك.
v2,D18,deep,18,You are feeling overwhelmed by responsibilities.,تشعر بالضغط من كثرة المسؤوليات.
v2,D19,deep,19,A friend achieves something important.,صديق حقق إنجازًا مهمًا.
v2,D20,deep,20,You move to a new neighborhood.,انتقلت إلى حي جديد.
v2,D21,deep,21,You feel your health habits slipping.,تشعر بأن عاداتك الصحية بدأت تتراجع.
v2,D22,deep,22,Someone spreads a rumor about you.,أحدهم ينشر إشاعة عنك.
