version_id,scenario_code,option_code,option_text_en,option_text_ar
v2,D01,A,Attend fully and support everyone warmly.,أحضر وأشارك بشكل كامل وأدعم الجميع بمحبة.
v2,D01,B,Go briefly then rest early.,أحضر لفترة قصيرة ثم أعود للراحة.
v2,D01,C,Stay home to recharge physically.,أبقى في المنزل لأستعيد طاقتي.
v2,D01,D,Decline politely to protect personal time.,أعتذر بلطف للحفاظ على وقتي الخاص.
v2,D02,A,Save most of it for security.,أدخر معظم المبلغ للاستقرار.
v2,D02,B,Invest in a learning opportunity.,أستثمره في تعلم جديد.
v2,D02,C,Share part with family.,أشارك جزءا منه مع العائلة.
v2,D02,D,Use it for something fun.,أستخدمه في نشاط ممتع.
v2,D03,A,Spend time listening and comforting.,أقضي وقتا في الاستماع والمواساة.
v2,D03,B,Offer practical solutions.,أقدم حلولا عملية.
v2,D03,C,Encourage gratitude and perspective.,أشجعه على الامتنان والنظر الإيجابي.
v2,D03,D,Respect their space and check later.,أحترم مساحته وأتواصل لاحقا.
v2,D04,A,Accept for career growth.,أقبل من أجل التطور المهني.
v2,D04,B,Decline to protect balance.,أرفض للحفاظ على التوازن.
v2,D04,C,Negotiate flexible hours.,أتفاوض على ساعات مرنة.
v2,D04,D,Seek advice before deciding.,أطلب نصيحة قبل القرار.
v2,D05,A,Volunteer actively.,أتطوع بفعالية.
v2,D05,B,Join to meet neighbors.,أنضم للتعارف وبناء علاقات.
v2,D05,C,Support financially.,أدعم ماديا.
v2,D05,D,Observe first before committing.,أراقب أولا قبل الالتزام.
v2,D06,A,Exercise or care for health.,أمارس الرياضة أو أهتم بصحتي.
v2,D06,B,Study or read.,أقرأ أو أتعلم.
v2,D06,C,Call a friend.,أتواصل مع صديق.
v2,D06,D,Relax with entertainment.,أسترخي بنشاط ترفيهي.
v2,D07,A,Mediate fairly.,أتوسط بعدل.
v2,D07,B,Stay neutral.,أبقى محايدا.
v2,D07,C,Support the weaker side.,أدعم الطرف الأضعف.
