gene_code,name_en,name_ar,desc_en,desc_ar
LOVE,Love & Care,الحب والرعاية,"Expresses care through empathy, loyalty, and emotional presence in close relationships.","يعبر عن الرعاية بالتعاطف والوفاء والحضور العاطفي في العلاقات القريبة."
ACHV,Achievement,الإنجاز,"Sets clear goals and follows through to deliver meaningful results.","يضع أهدافا واضحة ويلتزم بالتنفيذ لتحقيق نتائج ذات معنى."
JOY,Happiness & Contentment,السعادة والرضا,"Maintains inner positivity and practices gratitude to feel satisfied with life.","يحافظ على نظرة إيجابية ويمارس الامتنان ليشعر بالرضا عن حياته."
FREE,Autonomy,الاستقلالية,"Thinks independently and makes responsible personal choices.","يفكر باستقلالية ويتخذ قرارات شخصية بمسؤولية."
SAFE,Safety & Security,الأمن,"Seeks stability and creates safe environments for self and others.","يسعى إلى الاستقرار ويوفر بيئة آمنة لنفسه ولمن حوله."
HLTH,Health & Wellness,الصحة والعافية,"Prioritizes physical and mental well-being through balanced habits.","يعتني بصحته الجسدية والنفسية عبر عادات متوازنة."
DIGN,Dignity & Respect,الكرامة والاحترام,"Values self-respect and treats others with fairness and courtesy.","يقدّر كرامته الشخصية ويعامل الآخرين بعدل واحترام."
JUST,Justice & Fairness,العدالة والمساواة,"Acts with fairness and stands against discrimination or injustice.","يتصرف بعدل ويرفض التمييز أو الظلم."
FRND,Friendship,الصداقة,"Builds loyal, supportive relationships based on trust.","يبني علاقات داعمة تقوم على الثقة والوفاء."
LEARN,Learning & Knowledge,التعلم والمعرفة,"Seeks knowledge and continuously develops skills and awareness.","يسعى لاكتساب المعرفة ويطور مهاراته ووعيه باستمرار."
SPIR,Meaning & Purpose,المعنى والغاية,"Seeks meaning and alignment between beliefs and daily actions.","يسعى للمعنى والانسجام بين قناعاته وسلوكه اليومي."
FINC,Financial Stability,الاستقرار المالي,"Manages money wisely to create long-term security and independence.","يدير موارده المالية بحكمة لتحقيق استقرار طويل المدى."
RECO,Recognition,التقدير والاعتراف,"Values appreciation and acknowledges the efforts of others.","يقدّر الاعتراف بالجهد ويحرص على تقدير جهود الآخرين."
ADVN,Adventure & Challenge,المغامرة والتحدي,"Seeks new experiences and embraces challenge for growth.","يحب التجارب الجديدة ويستقبل التحديات بروح النمو."
ARTS,Beauty & Art,الجمال والفن,"Appreciates aesthetics and expresses creativity in daily life.","يقدّر الجمال ويعبر عن إبداعه في حياته اليومية."
FUN,Fun & Enjoyment,المرح والترفيه,"Creates joyful moments and balances seriousness with play.","يصنع لحظات ممتعة ويوازن بين الجدية والمرح."
COMM,Community & Belonging,الانتماء والمجتمع,"Feels connected to groups and contributes positively to them.","يشعر بالانتماء ويساهم بإيجابية في مجتمعه."
AMBT,Ambition & Growth,الطموح والتطور,"Strives to improve and reach higher personal standards.","يسعى للتطور المستمر ورفع مستواه الشخصي."
GRAT,Gratitude,الامتنان,"Recognizes blessings and expresses appreciation regularly.","يدرك النعم ويعبر عن الشكر والتقدير باستمرار."
BALN,Work-Life Balance,التوازن بين العمل والحياة,"Balances responsibilities with personal time and relationships.","يوازن بين مسؤولياته العملية ووقته الشخصي وعلاقاته."
