version_id,advice_id,channel,advice_type,title_ar,title_en,body_ar,body_en,priority
v2,A_LOVE_B1,behavior,activation,مبادرة تقدير,Small Act of Care,قم اليوم بلفتة بسيطة تعبّر فيها عن اهتمامك بشخص قريب.,Do one small act today to show care to someone close.,95
v2,A_LOVE_R1,reflection,activation,سؤال عن القلب,Heart Check-In,اكتب: كيف أُظهر حبي للآخرين بطريقة واضحة؟,Write: How do I clearly show love to others?,90
v2,A_LOVE_S1,social,activation,مكالمة دافئة,Warm Call,اتصل بشخص تحبه وخصص خمس دقائق للاستماع فقط.,Call someone you love and spend five minutes just listening.,92
v2,A_ACHV_B1,behavior,activation,هدف اليوم,Today’s Target,حدد هدفًا صغيرًا لليوم وأنهِه قبل المساء.,Set one small goal today and finish it before evening.,96
v2,A_ACHV_R1,reflection,activation,قياس التقدم,Measure Progress,اكتب: ما الإنجاز الذي سيجعلني فخورًا هذا الأسبوع؟,Write: What achievement would make me proud this week?,88
v2,A_ACHV_S1,social,activation,شريك إنجاز,Accountability Partner,أخبر شخصًا بهدفك واطلب منه متابعتك.,Tell someone your goal and ask them to check in on you.,90
v2,A_JOY_B1,behavior,activation,لحظة امتاع,Joy Moment,خصص 15 دقيقة لنشاط يسعدك دون شعور بالذنب.,Spend 15 minutes on something that brings you joy.,94
v2,A_JOY_R1,reflection,activation,مصدر السعادة,Source of Joy,اكتب: ما أكثر ثلاثة أشياء ترفع مزاجي؟,Write: What three things lift my mood?,85
v2,A_JOY_S1,social,activation,مشاركة ابتسامة,Share a Smile,شارك شخصًا قريبًا بلحظة مرحة أو قصة إيجابية.,Share a light or positive story with someone.,87
v2,A_FREE_B1,behavior,activation,قرار مستقل,Independent Choice,اتخذ اليوم قرارًا صغيرًا يعكس رأيك الشخصي.,Make one small decision today based on your own view.,93
v2,A_FREE_R1,reflection,activation,حدودي الشخصية,My Boundaries,اكتب: أين أحتاج أن أكون أوضح في حدودي؟,Write: Where do I need clearer boundaries?,86
v2,A_FREE_S1,social,activation,تعبير صريح,Clear Expression,عبّر عن رأيك بهدوء في نقاش دون تردد.,Express your opinion calmly in a discussion.,89
v2,A_SAFE_B1,behavior,activation,تنظيم بسيط,Simple Order,رتب مساحة صغيرة حولك لزيادة شعورك بالأمان.,Organize a small space to feel more secure.,91
