version_id,model_code,name_en,name_ar,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN,summary_ar
v2,ABKR,Abu Bakr Al-Siddiq Inspired,أبو بكر الصديق,0.90,0.85,0.70,0.60,0.75,0.65,0.85,0.90,0.85,0.80,0.95,0.70,0.65,0.60,0.50,0.55,0.90,0.85,0.90,0.80,قيادة هادئة تجمع بين الرحمة والحزم وتحمل المسؤولية بثبات.
v2,UMAR,Umar ibn Al-Khattab Inspired,عمر بن الخطاب,0.70,0.90,0.55,0.70,0.85,0.70,0.95,0.98,0.75,0.85,0.85,0.75,0.70,0.75,0.40,0.45,0.85,0.95,0.75,0.75,شخصية قوية تركز على العدالة والانضباط وتحمل المسؤولية.
v2,UTHM,Uthman ibn Affan Inspired,عثمان بن عفان,0.85,0.80,0.65,0.60,0.75,0.65,0.90,0.85,0.80,0.80,0.90,0.95,0.60,0.55,0.50,0.50,0.80,0.75,0.90,0.80,شخص كريم يميل إلى الهدوء والدعم السخي والاستقرار.
v2,ALIY,Ali ibn Abi Talib Inspired,علي بن أبي طالب,0.80,0.85,0.65,0.75,0.70,0.70,0.95,0.95,0.75,0.95,0.90,0.70,0.75,0.80,0.60,0.60,0.85,0.90,0.80,0.75,حكمة عميقة وشجاعة في المواقف مع تمسك قوي بالقيم.
v2,AISHA,Aisha bint Abi Bakr Inspired,عائشة بنت أبي بكر,0.75,0.85,0.70,0.75,0.65,0.65,0.85,0.80,0.75,0.98,0.90,0.60,0.80,0.65,0.65,0.70,0.85,0.85,0.80,0.75,فضول معرفي قوي مع حضور اجتماعي مؤثر.
v2,KHAL,Khalid ibn Al-Walid Inspired,خالد بن الوليد,0.65,0.95,0.60,0.80,0.70,0.75,0.80,0.80,0.70,0.70,0.75,0.65,0.85,0.95,0.50,0.60,0.75,0.98,0.65,0.70,روح قيادية مغامرة تركز على الإنجاز والحسم.
v2,BILAL,Bilal ibn Rabah Inspired,بلال بن رباح,0.85,0.75,0.65,0.80,0.70,0.65,0.90,0.85,0.75,0.70,0.95,0.60,0.60,0.70,0.50,0.60,0.80,0.80,0.85,0.75,ثبات على القيم مع روح حرة وصادقة.
v2,SALM,Salman Al-Farisi Inspired,سلمان الفارسي,0.75,0.80,0.65,0.85,0.70,0.70,0.80,0.85,0.70,0.95,0.95,0.60,0.65,0.75,0.55,0.55,0.85,0.85,0.85,0.75,باحث عن الحكمة يجمع بين الانفتاح والالتزام.
v2,ABDR,Abdurrahman ibn Awf Inspired,عبد الرحمن بن عوف,0.75,0.90,0.70,0.70,0.80,0.70,0.85,0.80,0.75,0.75,0.85,0.98,0.75,0.70,0.50,0.60,0.80,0.90,0.85,0.80,توازن بين النجاح المالي والالتزام المجتمعي.
v2,HAMZ,Hamza ibn Abdulmuttalib Inspired,حمزة بن عبد المطلب,0.70,0.90,0.65,0.80,0.70,0.75,0.85,0.85,0.75,0.70,0.80,0.65,0.75,0.95,0.55,0.65,0.80,0.95,0.70,0.70,شجاعة عالية وروح مغامرة مع وفاء قوي.
