version_id,scenario_code,option_code,option_text_en,option_text_ar
v2,D12_01,A,Take away something he likes until he commits.,أحرمه من شيء يحبه حتى يلتزم.
v2,D12_01,B,Help him tidy up this time.,أساعده في الترتيب هذه المرة.
v2,D12_01,C,Ignore it; his room is his responsibility.,أتجاهل الأمر، فغرفته مسؤوليته.
v2,D12_01,D,Discuss calmly why order matters.,أتحدث معه بهدوء عن أهمية النظام.
v2,D12_02,A,Address it firmly and set clear boundaries.,أواجهها بحزم وأضع حدودا واضحة.
v2,D12_02,B,Listen to her advice then do what fits your view.,أستمع لنصائحها ثم أفعل ما أراه مناسبا.
v2,D12_02,C,Avoid the topic to protect her feelings.,أتجنب الموضوع حفاظا على مشاعرها.
v2,D12_02,D,Explain your view gently and ask for understanding.,أشرح لها وجهة نظري بلطف وأطلب تفهمها.
v2,D12_03,A,Skip dinner because the appointment is important.,أعتذر عن الحضور فالموعد مهم.
v2,D12_03,B,Attend dinner and postpone your appointment.,أحضر العشاء وأؤجل موعدي.
v2,D12_03,C,Try to move dinner to another day.,أحاول تأجيل العشاء ليوم آخر.
v2,D12_03,D,Arrive late after your appointment.,أحضر متأخرا بعد انتهاء موعدي.
v2,D12_04,A,Confront him angrily and block access to your things.,أواجهه بغضب وأمنعه من الاقتراب من أغراضي.
v2,D12_04,B,Explain calmly why asking permission matters.,أتحدث معه بهدوء عن أهمية الاستئذان.
v2,D12_04,C,Ignore it because he is younger.,أتجاهل الأمر، فهو أخي الصغير.
v2,D12_04,D,Hide your important belongings from him.,أخفي أغراضي المهمة عنه.
v2,D12_05,A,Congratulate them and hide your disappointment.,أهنئه وأخفي خيبة أملي.
v2,D12_05,B,Ask your manager why they were chosen so you can learn.,أسأل مديري عن أسباب اختياره لأتعلم.
v2,D12_05,C,Feel bitter and lose motivation.,أشعر بالحسرة وأفقد الحماس.
v2,D12_05,D,Work harder for the next opportunity.,أعمل بجهد أكبر لأستحق الترقية القادمة.
v2,D12_06,A,Agree while resenting it internally.,أوافق وأنا كاره للأمر.
v2,D12_06,B,Decline and explain family commitments.,أعتذر وأوضح أن لدي التزامات عائلية.
v2,D12_06,C,Agree but ask for fair compensation.,أوافق وأطلب مقابلا مناسبا.
v2,D12_06,D,Finish quickly then leave.,أنجز العمل بسرعة ثم أنصرف.
v2,D12_07,A,Expose the lie in front of the manager.,أواجهها أمام المدير وأفضح كذبها.
v2,D12_07,B,Wait and address her privately after the meeting.,أنتظر انتهاء الاجتماع وأواجهها على انفراد.
v2,D12_07,C,Stay silent and take the blame to preserve the relationship.,أسكت وأتحمل المسؤولية حفاظا على العلاقة.
v2,D12_07,D,Clarify the facts calmly without accusing her.,أوضح الموقف بهدوء للمدير دون اتهامها.
v2,D12_08,A,Talk to them and push for contribution.,أتحدث معه وأحثه على العمل.
v2,D12_08,B,Escalate to the supervisor.,أشتكي للمشرف عليه.
v2,D12_08,C,Cover the gap yourself.,أعوض تقصيره بنفسي.
v2,D12_08,D,Ignore it and do only your part.,أتجاهل الأمر وأنجز عملي فقط.
v2,D12_09,A,Help as much as you can without hesitation.,أساعده بقدر استطاعتي دون تردد.
v2,D12_09,B,Lend with a clear repayment timeline.,أعيره المال بشرط إعادته في وقت محدد.
v2,D12_09,C,Decline because your situation does not allow it.,أعتذر بأن ظروفي لا تسمح.
v2,D12_09,D,Help by connecting them to other support sources.,أبحث له عن مصادر مساعدة أخرى.
v2,D12_10,A,Support the one you think is right.,أنحاز لمن أعتقد أنه على حق.
v2,D12_10,B,Completely stay out of it.,أعتزل الموقف تماما.
v2,D12_10,C,Try to reconcile them.,أحاول التوفيق بينهما.
v2,D12_10,D,Listen to both without taking sides.,أستمع لكليهما دون إبداء رأي.
v2,D12_11,A,It does not matter; occasions are only habits.,لا يهمني، فالمناسبات مجرد عادات.
v2,D12_11,B,Feel upset but hide it.,أشعر بالضيق لكني لا أظهره.
v2,D12_11,C,Tell them directly that it hurt you.,أواجهه وأخبره أن هذا آلمني.
v2,D12_11,D,Wait to see if they apologize.,أنتظر لأرى إن كان سيعتذر.
v2,D12_12,A,Attend despite being exhausted.,أحضر رغم إرهاقي.
v2,D12_12,B,Decline and explain honestly.,أعتذر وأشرح له السبب بصراحة.
v2,D12_12,C,Decline with another excuse.,أعتذر بعذر آخر كي لا يزعجه السبب الحقيقي.
v2,D12_12,D,Attend briefly then leave.,أحضر لفترة قصيرة ثم أنصرف.
v2,D12_13,A,Confront loudly and force them back.,أواجهه بصوت عال وأطرده.
v2,D12_13,B,Let it pass; it is not worth conflict.,أتركه، فالمشكلة لا تستحق.
v2,D12_13,C,State calmly that it is your turn.,أقول له بهدوء إن الدور لي.
