version_id,scenario_code,option_code,option_text_en,option_text_ar
v1,S01,A,Wait and observe until the picture becomes clearer.,أنتظر وأراقب حتى تتضح الصورة.
v1,S01,B,Share my view calmly without pushing hard.,أعبر بهدوء عن رأيي دون إصرار.
v1,S01,C,Go along to keep harmony and avoid tension.,أساير للحفاظ على الانسجام وتجنب التوتر.
v1,S01,D,Oppose clearly even if it creates discomfort.,أعارض بوضوح حتى لو سبب ذلك توترا.
v1,S02,A,Reflect first: what pattern is happening here?,أتأمل أولاً: ما النمط المتكرر هنا؟
v1,S02,B,Address it directly and set a boundary.,أواجه مباشرة وأضع حدّاً واضحاً.
v1,S02,C,Choose a gentle conversation to protect the bond.,أختار حديثاً لطيفاً لحماية العلاقة.
v1,S02,D,Create a clear agreement and steps to prevent repeats.,أضع اتفاقاً وخطوات واضحة لمنع التكرار.
v1,S03,A,Ask for examples and clarity before reacting.,أطلب أمثلة وتوضيحا قبل أن أتصرف.
v1,S03,B,Propose a bold initiative to show impact quickly.,أقترح مبادرة جريئة لأظهر تأثيرا سريعا.
v1,S03,C,Check how my feedback affects relationships and tone.,أراعي أثر ملاحظاتي على العلاقة وطريقة الكلام.
v1,S03,D,Turn the feedback into measurable tasks and routine.,أحول الملاحظة إلى مهام قابلة للقياس وخطة متابعة.
v1,S04,A,Pause and read carefully before replying.,أتوقف وأقرأ بهدوء قبل الرد.
v1,S04,B,Step in and name the issue directly.,أتدخل وأسمي المشكلة مباشرة.
v1,S04,C,Try to calm everyone and reduce tension.,أهدئ الأجواء وأقلل التوتر.
v1,S04,D,"Set rules: one point at a time, respectful tone.",أضع قواعد: نقطة بنقطة وباحترام.
v1,S05,A,Step back and re-check priorities before rushing.,أتراجع خطوة وأعيد ترتيب الأولويات.
v1,S05,B,Make a decisive call and move forward.,أحسم قراراً وأتقدم.
v1,S05,C,Align with people first so everyone stays okay.,أراعي الناس أولاً حتى يبقى الجو جيداً.
v1,S05,D,Create a new plan and track changes tightly.,أضع خطة جديدة وأتابع التغييرات بدقة.
v1,S06,A,"Stay quiet, reflect, and respond later.",أصمت وأتأمل ثم أرد لاحقاً.
v1,S06,B,Respond confidently in the moment.,أرد بثقة في نفس اللحظة.
v1,S06,C,Respond gently to avoid escalation.,أرد بلطف لتفادي التصعيد.
v1,S06,D,Ask to take it privately and set boundaries.,أطلب نقل الحديث للخاص وأضع حدوداً.
v1,S07,A,Study the long-term impact before deciding.,أدرس أثرها بعيد المدى قبل القرار.
v1,S07,B,Take it—growth needs bold steps.,أقبلها—النمو يحتاج جرأة.
