version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v2,D12_01,deep_12,1,Your son refuses to tidy his room despite repeated requests.,ابنك يرفض ترتيب غرفته رغم طلبك المتكرر.
v2,D12_02,deep_12,2,Your mother interferes in how you raise your children.,والدتك تتدخل في قرارات تربية أبنائك.
v2,D12_03,deep_12,3,Weekly family dinner conflicts with an important commitment.,العشاء العائلي الأسبوعي يتعارض مع موعد مهم لك.
v2,D12_04,deep_12,4,Your younger brother borrows your things without asking.,أخوك الصغير يستعير أغراضك دون استئذان.
v2,D12_05,deep_12,5,A colleague gets the promotion you were hoping for.,زميل في العمل يحصل على ترقية كنت تأملها أنت.
v2,D12_06,deep_12,6,Your manager asks for extra work after official hours.,مديرك يطلب منك عملا إضافيا بعد دوامك الرسمي.
v2,D12_07,deep_12,7,A teammate blames you for her mistake in front of the manager.,زميلتك في الفريق ترتكب خطأ أمام المدير وتلقي باللوم عليك.
v2,D12_08,deep_12,8,"In a group project, one member is not doing their part.",في مشروع جماعي، أحد الأعضاء لا يؤدي دوره.
v2,D12_09,deep_12,9,A close friend in financial trouble asks you for a loan.,صديقك المقرب يمر بضائقة مالية ويطلب منك قرضا.
v2,D12_10,deep_12,10,Two friends expect you to take sides in their conflict.,صديقان لك يختلفان ويتوقع كل منهما أن تنحاز له.
v2,D12_11,deep_12,11,A friend forgets your birthday greeting.,صديق ينسى معايدتك في عيد ميلادك.
v2,D12_12,deep_12,12,A friend invites you to a party while you are exhausted.,صديق يدعوك لحفلته لكنك مرهق جدا.
v2,D12_13,deep_12,13,Someone rudely cuts ahead of you in a queue.,شخص في الطابور يتقدم عليك بوقاحة.
v2,D12_14,deep_12,14,A restaurant waiter forgets your order and ignores you.,نادل في مطعم ينسى طلبك ويتجاهلك.
v2,D12_15,deep_12,15,Your new neighbor has not greeted you after several encounters.,جارك الجديد لم يسلم عليك رغم مرات لقائك به.
v2,D12_16,deep_12,16,"At the mosque, someone is sitting in your usual place.",في المسجد، شخص يجلس في مكانك المعتاد.
v2,D12_17,deep_12,17,You wake up in a bad mood without a clear reason.,استيقظت بمزاج سيئ دون سبب واضح.
v2,D12_18,deep_12,18,You fail to achieve an important personal goal.,فشلت في تحقيق هدف مهم لك.
v2,D12_19,deep_12,19,You still feel guilty about something from years ago.,تشعر بالذنب تجاه موقف مضى عليه سنوات.
v2,D12_20,deep_12,20,You suddenly get a long unexpected free time block.,لديك وقت فراغ طويل غير متوقع.
v2,D12_21,deep_12,21,A parent WhatsApp group keeps pressuring you into every activity.,مجموعة أولياء الأمور في واتساب تضغط عليك للمشاركة في كل نشاط.
v2,D12_22,deep_12,22,A relative expects immediate replies to every family message.,أحد الأقارب يتوقع ردا فوريا على كل رسائل العائلة.
v2,D12_23,deep_12,23,Family visits are announced at the last minute during your busy week.,زيارات عائلية تعلن في آخر لحظة خلال أسبوع مزدحم.
v2,D12_24,deep_12,24,A sibling asks you to carry family duties while they stay absent.,أخ يطلب منك تحمل واجبات الأسرة بينما يغيب هو.
v2,D12_25,deep_12,25,You receive positive feedback but no salary adjustment.,تتلقى مديحا في العمل دون تعديل في الراتب.
v2,D12_26,deep_12,26,You are asked to lead a new initiative with unclear authority.,يطلب منك قيادة مبادرة جديدة بصلاحيات غير واضحة.
v2,D12_27,deep_12,27,Your task list keeps growing while deadlines stay the same.,قائمة مهامك تكبر باستمرار بينما المواعيد النهائية ثابتة.
