version_id,model_code,name_en,name_ar,WIS,CRG,HRM,DSC,EMP,summary_ar,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN
v1,ABUBAKR,Abu Bakr,أبو بكر الصديق,0.80,0.70,0.75,0.65,0.85,لينٌ مع ثبات، رحمة مع حزم، حضور هادئ يرفع الناس.,,,,,,,,,,,,,,,,,,,,
v1,UMAR,Umar ibn Al-Khattab,عمر بن الخطاب,0.75,0.90,0.45,0.90,0.55,حزم وعدالة ومسؤولية، قرار واضح وتحمل تبعات.,,,,,,,,,,,,,,,,,,,,
v1,UTHMAN,Uthman ibn Affan,عثمان بن عفان,0.70,0.55,0.85,0.65,0.90,حياء ورحمة وتلطيف للأجواء، سخاء وستر.,,,,,,,,,,,,,,,,,,,,
v1,ALI,Ali ibn Abi Talib,علي بن أبي طالب,0.90,0.75,0.60,0.65,0.70,حكمة وبصيرة، شجاعة موزونة، رؤية عميقة قبل الفعل.,,,,,,,,,,,,,,,,,,,,
v1,KHALID,Khalid ibn Al-Walid,خالد بن الوليد,0.65,0.95,0.40,0.85,0.50,حسم ومبادرة تحت الضغط، شجاعة عملية وتنفيذ.,,,,,,,,,,,,,,,,,,,,
v1,ABUHUR,Abu Huraira,أبو هريرة,0.85,0.50,0.65,0.60,0.75,حب للعلم والالتقاط الدقيق، ذاكرة ومعنى ووعي.,,,,,,,,,,,,,,,,,,,,
v2,ABKR,Abu Bakr Al-Siddiq Inspired,أبو بكر الصديق,,,,,,قيادة هادئة تجمع بين الرحمة والحزم وتحمل المسؤولية بثبات.,0.90,0.85,0.70,0.60,0.75,0.65,0.85,0.90,0.85,0.80,0.95,0.70,0.65,0.60,0.50,0.55,0.90,0.85,0.90,0.80
v2,UMAR,Umar ibn Al-Khattab Inspired,عمر بن الخطاب,,,,,,شخصية قوية تركز على العدالة والانضباط وتحمل المسؤولية.,0.70,0.90,0.55,0.70,0.85,0.70,0.95,0.98,0.75,0.85,0.85,0.75,0.70,0.75,0.40,0.45,0.85,0.95,0.75,0.75
v2,UTHM,Uthman ibn Affan Inspired,عثمان بن عفان,,,,,,شخص كريم يميل إلى الهدوء والدعم السخي والاستقرار.,0.85,0.80,0.65,0.60,0.75,0.65,0.90,0.85,0.80,0.80,0.90,0.95,0.60,0.55,0.50,0.50,0.80,0.75,0.90,0.80
v2,ALIY,Ali ibn Abi Talib Inspired,علي بن أبي طالب,,,,,,حكمة عميقة وشجاعة في المواقف مع تمسك قوي بالقيم.,0.80,0.85,0.65,0.75,0.70,0.70,0.95,0.95,0.75,0.95,0.90,0.70,0.75,0.80,0.60,0.60,0.85,0.90,0.80,0.75
v2,AISHA,Aisha bint Abi Bakr Inspired,عائشة بنت أبي بكر,,,,,,فضول معرفي قوي مع حضور اجتماعي مؤثر.,0.75,0.85,0.70,0.75,0.65,0.65,0.85,0.80,0.75,0.98,0.90,0.60,0.80,0.65,0.65,0.70,0.85,0.85,0.80,0.75
v2,KHAL,Khalid ibn Al-Walid Inspired,خالد بن الوليد,,,,,,روح قيادية مغامرة تركز على الإنجاز والحسم.,0.65,0.95,0.60,0.80,0.70,0.75,0.80,0.80,0.70,0.70,0.75,0.65,0.85,0.95,0.50,0.60,0.75,0.98,0.65,0.70
v2,BILAL,Bilal ibn Rabah Inspired,بلال بن رباح,,,,,,ثبات على القيم مع روح حرة وصادقة.,0.85,0.75,0.65,0.80,0.70,0.65,0.90,0.85,0.75,0.70,0.95,0.60,0.60,0.70,0.50,0.60,0.80,0.80,0.85,0.75
v2,SALM,Salman Al-Farisi Inspired,سلمان الفارسي,,,,,,باحث عن الحكمة يجمع بين الانفتاح والالتزام.,0.75,0.80,0.65,0.85,0.70,0.70,0.80,0.85,0.70,0.95,0.95,0.60,0.65,0.75,0.55,0.55,0.85,0.85,0.85,0.75
v2,ABDR,Abdurrahman ibn Awf Inspired,عبد الرحمن بن عوف,,,,,,توازن بين النجاح المالي والالتزام المجتمعي.,0.75,0.90,0.70,0.70,0.80,0.70,0.85,0.80,0.75,0.75,0.85,0.98,0.75,0.70,0.50,0.60,0.80,0.90,0.85,0.80
v2,HAMZ,Hamza ibn Abdulmuttalib Inspired,حمزة بن عبد المطلب,,,,,,شجاعة عالية وروح مغامرة مع وفاء قوي.,0.70,0.90,0.65,0.80,0.70,0.75,0.85,0.85,0.75,0.70,0.80,0.65,0.75,0.95,0.55,0.65,0.80,0.95,0.70,0.70
v2,FATM,Fatimah bint Muhammad Inspired,فاطمة بنت محمد,,,,,,رحمة عميقة وتوازن بين العائلة والقيم الداخلية.,0.95,0.75,0.70,0.60,0.75,0.70,0.90,0.85,0.85,0.75,0.95,0.60,0.65,0.55,0.60,0.60,0.85,0.75,0.95,0.85
v2,KHDJ,Khadijah bint Khuwaylid Inspired,خديجة بنت خويلد,,,,,,قيادة داعمة تجمع بين الاستقرار المالي والرؤية والثقة.,0.90,0.90,0.70,0.75,0.85,0.70,0.90,0.85,0.85,0.80,0.95,0.95,0.75,0.70,0.60,0.65,0.90,0.90,0.90,0.85
v2,ASMA,Asma bint Abi Bakr Inspired,أسماء بنت أبي بكر,,,,,,شخصية شجاعة تتحمل المسؤولية بروح عملية.,0.80,0.85,0.70,0.80,0.70,0.75,0.85,0.80,0.80,0.75,0.85,0.70,0.70,0.85,0.60,0.65,0.85,0.90,0.85,0.75
v2,MUAB,Musab ibn Umair Inspired,مصعب بن عمير,,,,,,شخصية مؤثرة تجمع بين التعلم والالتزام والقيادة.,0.75,0.85,0.65,0.85,0.65,0.70,0.80,0.80,0.75,0.90,0.95,0.60,0.75,0.75,0.60,0.65,0.85,0.85,0.80,0.75
v2,UMMS,Umm Salama Inspired,أم سلمة,,,,,,حكمة واتزان في اتخاذ القرارات مع حضور عاطفي ناضج.,0.85,0.75,0.70,0.70,0.75,0.70,0.85,0.85,0.80,0.85,0.95,0.65,0.70,0.60,0.65,0.65,0.85,0.75,0.90,0.85
v2,SAAD,Saad ibn Abi Waqqas Inspired,سعد بن أبي وقاص,,,,,,روح قيادية عملية تميل للحسم والتنفيذ.,0.70,0.90,0.65,0.75,0.75,0.75,0.85,0.85,0.70,0.75,0.80,0.70,0.75,0.90,0.50,0.60,0.80,0.95,0.75,0.75
v2,ZAIN,Zainab bint Jahsh Inspired,زينب بنت جحش,,,,,,عطاء وكرم مع التزام واضح بالقيم.,0.90,0.75,0.70,0.65,0.70,0.65,0.85,0.80,0.75,0.75,0.90,0.70,0.70,0.60,0.60,0.60,0.85,0.75,0.95,0.80
v2,SUFY,Safiyyah bint Huyayy Inspired,صفية بنت حيي,,,,,,شخصية متزنة تجمع بين الكرامة والمرونة.,0.85,0.70,0.70,0.65,0.70,0.65,0.85,0.80,0.75,0.75,0.90,0.60,0.65,0.60,0.60,0.65,0.80,0.75,0.85,0.75
v2,ABTH,Abu Talha Inspired,أبو طلحة,,,,,,شخصية عملية سخية تميل للمبادرة والعمل.,0.85,0.85,0.65,0.70,0.75,0.75,0.85,0.80,0.75,0.70,0.85,0.75,0.70,0.85,0.50,0.60,0.80,0.90,0.80,0.75
